Label,Year,Site,ARMS_number,DSC,Scaled,DSC_extra,Phyla,Class,Order,General_name,Specimen,MorphoID,L_mm,W_g,Notes
ARMS19M#441,2019,Moresby,9,2775,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,,ARMSMc#007,7.452,0.012189722,
ARMS19M#442,2019,Moresby,9,2776,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,1,ARMSMc#007,5.485,0.00515809,
ARMS19M#442,2019,Moresby,9,2776,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,2,ARMSMc#007,3.52,0.00122416,
ARMS19M#446,2019,Moresby,9,2780,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,,ARMSMc#007,6.28,0.00762736,
ARMS22M#274,2022,Anglaise,2,IMG_0518,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,,ARMSMc#007,3.17,0.00084756,preserved 2.5 years
ARMS22M#282,2022,Anglaise,2,IMG_0579,Y,IMG_0580,Arthropoda,Malacostraca,Decapoda,Shrimp,,ARMSMc#007,4.72,0.00325936,"preserved 2.5 years, nice close up"
ARMS22M#128,2022,Coin,7,7883,Y,7884,Arthropoda,Malacostraca,Decapoda,Shrimp,1,ARMSMc#007,5.077,0.004087172,mix of morphospecies
ARMS22M#128,2022,Coin,7,7883,Y,7884,Arthropoda,Malacostraca,Decapoda,Shrimp,2,ARMSMc#007,3.772,0.001555994,mix of morphospecies
ARMS22M#128,2022,Coin,7,7883,Y,7884,Arthropoda,Malacostraca,Decapoda,Shrimp,3,ARMSMc#007,3.715,0.00147649,mix of morphospecies
ARMS22M#128,2022,Coin,7,7883,Y,7884,Arthropoda,Malacostraca,Decapoda,Shrimp,4,ARMSMc#007,3.16,0.00083824,mix of morphospecies
ARMS22M#128,2022,Coin,7,7883,Y,7884,Arthropoda,Malacostraca,Decapoda,Shrimp,5,ARMSMc#007,3.814,0.001616238,mix of morphospecies
ARMS22M#128,2022,Coin,7,7883,Y,7884,Arthropoda,Malacostraca,Decapoda,Shrimp,6,ARMSMc#007,3.279,0.000954336,mix of morphospecies
ARMS21M#129,2021,Anglaise,2,3634,Y,,Echinodermata,Ophiuroidea,,Brittlestar,,ARMSMc#009,4.212,0.082637579,
ARMS21M#128,2021,Anglaise,2,3639,Y,,Echinodermata,Ophiuroidea,,Brittlestar,,ARMSMc#009,9.955,0.817539755,
ARMS21M#194,2021,Anglaise,3,4369,Y,4374,Echinodermata,Ophiuroidea,,Brittlestar,,ARMSMc#009,48.069,72.12548767,
ARMS21M#496,2021,Coin,2,6562,Y,,Echinodermata,Ophiuroidea,,Brittlestar,,ARMSMc#009,29.595,17.61701765,
ARMS21M#498,2021,Coin,2,6570,Y,6572,Echinodermata,Ophiuroidea,,Brittlestar,,ARMSMc#009,25.437,11.3957989,
ARMS19S#027,2019,Coin,1,0401,Y,,Echinodermata,Ophiuroidea,,Brittlestar,,ARMSMc#009,2.337,0.018427878,motile even though S
ARMS19M#010,2019,Coin,2,0591,Y,,Echinodermata,Ophiuroidea,,Brittlestar,,ARMSMc#009,13.063,1.73071645,
ARMS19M#018,2019,Coin,2,0591,Y,,Echinodermata,Ophiuroidea,,Brittlestar,,ARMSMc#009,8.273,0.493942195,
ARMS19M#032,2019,Moresby,3,1110,Y,,Echinodermata,Ophiuroidea,,Brittlestar,1,ARMSMc#009,12.845,1.651596111,
ARMS19M#032,2019,Moresby,3,1110,Y,,Echinodermata,Ophiuroidea,,Brittlestar,2,ARMSMc#009,7.409,0.366834766,
ARMS19M#077,2019,Anglaise,4,1382,Y,,Echinodermata,Ophiuroidea,,Brittlestar,,ARMSMc#009,25.67,11.69793732,
ARMS19M#078,2019,Anglaise,4,1384,Y,,Echinodermata,Ophiuroidea,,Brittlestar,,ARMSMc#009,29.562,17.56040698,
ARMS19S#190,2019,Anglaise,6,1928,Y,,Echinodermata,Ophiuroidea,,Brittlestar,,ARMSMc#009,15.404,2.743220914,motile even though S
ARMS19S#191,2019,Anglaise,6,1931,Y,,Echinodermata,Ophiuroidea,,Brittlestar,,ARMSMc#009,5.907,0.200429784,motile even though S
ARMS22M#452,2022,Moresby,6,9006,Y,,Echinodermata,Ophiuroidea,,Brittlestar,,ARMSMc#009,7.234,0.344026028,
ARMS21M#114,2021,Anglaise,1,3369,Y,,Mollusca,Gastropoda,,Sea_snail,,ARMSMc#012,6.214,0.0130778,
ARMS21M#134,2021,Anglaise,2,3660,Y,,Mollusca,Gastropoda,,Sea_snail,,ARMSMc#012,5.194,0.0103238,
ARMS21M#411,2021,Moresby,3,5973,Y,,Mollusca,Gastropoda,,Sea_snail,,ARMSMc#012,5.232,0.0104264,
ARMS21M#429,2021,Moresby,3,6018,Y,,Mollusca,Gastropoda,,Sea_snail,,ARMSMc#012,8.088,0.0181376,
ARMS21M#434,2021,Moresby,3,6025,Y,,Mollusca,Gastropoda,,Sea_snail,,ARMSMc#012,4.783,0.0092141,
ARMS19M#011,2019,Coin,2,0587,Y,0589,Mollusca,Gastropoda,,Sea_snail,,ARMSMc#012,46.159,0.1209293,abnormally big
ARMS19M#122,2019,Anglaise,4,1430,Y,,Mollusca,Gastropoda,,Sea_snail,1,ARMSMc#012,6.519,0.0139013,
ARMS19M#122,2019,Anglaise,4,1430,Y,,Mollusca,Gastropoda,,Sea_snail,2,ARMSMc#012,6.048,0.0126296,
ARMS19M#124,2019,Anglaise,4,1433,Y,,Mollusca,Gastropoda,,Sea_snail,,ARMSMc#012,6.947,0.0150569,
ARMS19M#170,2019,Anglaise,5,1706,Y,,Mollusca,Gastropoda,,Sea_snail,1,ARMSMc#012,7.091,0.0154457,
ARMS19M#170,2019,Anglaise,5,1706,Y,,Mollusca,Gastropoda,,Sea_snail,2,ARMSMc#012,6.464,0.0137528,
ARMS19M#332,2019,Moresby,8,2504,Y,,Mollusca,Gastropoda,,Sea_snail,1,ARMSMc#012,8.245,0.0185615,
ARMS19M#332,2019,Moresby,8,2504,Y,,Mollusca,Gastropoda,,Sea_snail,2,ARMSMc#012,5.079,0.0100133,
ARMS19M#332,2019,Moresby,8,2504,Y,,Mollusca,Gastropoda,,Sea_snail,3,ARMSMc#012,6.033,0.0125891,
ARMS19M#332,2019,Moresby,8,2504,Y,,Mollusca,Gastropoda,,Sea_snail,4,ARMSMc#012,5.513,0.0111851,
ARMS19M#332,2019,Moresby,8,2504,Y,,Mollusca,Gastropoda,,Sea_snail,5,ARMSMc#012,4.995,0.0097865,
ARMS19M#332,2019,Moresby,8,2504,Y,,Mollusca,Gastropoda,,Sea_snail,6,ARMSMc#012,6.242,0.0131534,
ARMS19M#332,2019,Moresby,8,2504,Y,,Mollusca,Gastropoda,,Sea_snail,7,ARMSMc#012,4.128,0.0074456,
ARMS22M#173,2022,Coin,9,8108,Y,8111,Mollusca,Gastropoda,,Sea_snail,,ARMSMc#012,9.694,0.0224738,
