Label,Year,Site,ARMS_number,DSC,Scaled,DSC_extra,Phyla,Class,Order,General_name,Abundance_in_image,MorphoID,Notes
ARMS21M#153,2021,Anglaise,2,3768,Y,,Mollusca,Gastropoda,,Sea_snail,1,ARMSMc#013,
ARMS21M#305,2021,Moresby,1,5216,Y,,Mollusca,Gastropoda,,Sea_snail,1,ARMSMc#013,
ARMS21M#154,2021,Anglaise,2,3771,Y,3770,Arthropoda,Malacostraca,Decapoda,Crab,1,ARMSMc#275,
ARMS21M#155,2021,Anglaise,2,3782,Y,,Arthropoda,Malacostraca,Decapoda,Crab,1,ARMSMc#269,
ARMS21M#158,2021,Anglaise,2,3785,Y,3787,Annelida,,,Worm,1,ARMSMc#149,
ARMS21M#157,2021,Anglaise,2,3792,Y,,Arthropoda,Malacostraca,Decapoda,Hermit_crab,1,ARMSMc#017,
ARMS21M#156,2021,Anglaise,2,3796,Y,3803,Arthropoda,Malacostraca,Decapoda,Snapping_shrimp,1,ARMSMc#233,
ARMS21M#159,2021,Anglaise,2,3808,Y,,Echinodermata,Ophiuroidea,,Brittlestar,1,ARMSMc#055,
ARMS21M#160,2021,Anglaise,2,3810,Y,,Mollusca,Polyplacophora,,Chiton,1,ARMSMc#117,
ARMS21M#161,2021,Anglaise,2,3814,Y,,Echinodermata,Ophiuroidea,,Brittlestar,1,ARMSMc#056,
ARMS21M#323,2021,Moresby,2,5549,Y,,Mollusca,Gastropoda,,Sea_snail,2,ARMSMc#013,
ARMS21M#163,2021,Anglaise,2,3822,Y,3821,Arthropoda,Malacostraca,Decapoda,Hermit_crab,11,ARMSMc#015,
ARMS21M#332,2021,Moresby,2,5590,Y,,Mollusca,Gastropoda,,Sea_snail,1,ARMSMc#013,
ARMS21M#166,2021,Anglaise,2,3843,Y,3844,Mollusca,Gastropoda,Littorinimorpha,Cowry,1,ARMSMc#156,
ARMS21M#168,2021,Anglaise,2,3846,Y,3847,Mollusca,Gastropoda,Nudibranchia,Nudibranch,1,ARMSMc#083,
ARMS21M#167,2021,Anglaise,2,3848,Y,3849,Mollusca,Gastropoda,Nudibranchia,Nudibranch,1,ARMSMc#084,
ARMS21M#169,2021,Anglaise,2,3852,Y,,Mollusca,Gastropoda,,Sea_snail,1,ARMSMc#172,
ARMS21M#170,2021,Anglaise,2,3855,Y,"3854, 3857",Arthropoda,Malacostraca,Decapoda,Crab,1,ARMSMc#270,nice close up
ARMS21M#171,2021,Anglaise,2,3859,Y,,Mollusca,Bivalvia,Pectinida,Scallop,1,ARMSMc#101,
ARMS21M#172,2021,Anglaise,2,3861,N,3862,Arthropoda,Malacostraca,Decapoda,Crab,1,ARMSMc#271,nice close up
ARMS21M#417,2021,Moresby,3,5989,Y,,Mollusca,Gastropoda,,Sea_snail,1,ARMSMc#013,
ARMS19M#156,2019,Anglaise,5,1691,Y,,Mollusca,Gastropoda,,Sea_snail,1,ARMSMc#013,
ARMS19M#304,2019,Moresby,8,2460,Y,,Mollusca,Gastropoda,,Sea_snail,1,ARMSMc#013,
ARMS19M#449,2019,Moresby,9,2783,Y,,Mollusca,Gastropoda,Littorinimorpha,Sea_snail,1,ARMSMc#013,
ARMS21M#177,2021,Anglaise,2,3882,Y,"3885, 3887",Arthropoda,Malacostraca,Decapoda,Spider_crab,1,ARMSMc#214,high quality images
ARMS22M#248,2022,Anglaise,2,IMG_0675,Y,IMG_0677,Mollusca,Gastropoda,,Sea_snail,1,ARMSMc#013,preserved 2.5 years
ARMS21M#180,2021,Anglaise,2,3900,Y,3899,Arthropoda,Malacostraca,Decapoda,Snapping_shrimp,1,ARMSMc#236,
ARMS21M#182,2021,Anglaise,2,3903,Y,3908,Arthropoda,Malacostraca,Decapoda,Snapping_shrimp,1,ARMSMc#233,
ARMS21M#181,2021,Anglaise,2,3910,Y,3914,Arthropoda,Malacostraca,Decapoda,Shrimp,1,ARMSMc#255,
ARMS22M#252,2022,Anglaise,2,IMG_0622,Y,IMG_0624,Mollusca,Gastropoda,,Sea_snail,13,ARMSMc#013,"preserved 2.5 years, mix of morphospecies"
ARMS21M#251,2021,Anglaise,3,4660,Y,,Mollusca,Gastropoda,,Sea_snail,3,ARMSMc#019,
ARMS21M#185,2021,Anglaise,2,3928,Y,3931,Arthropoda,Malacostraca,Decapoda,Hermit_crab,2,ARMSMc#242,
ARMS21M#372,2021,Moresby,2,5698,Y,,Mollusca,Gastropoda,,Sea_snail,1,ARMSMc#019,
ARMS21M#187,2021,Anglaise,2,3939,Y,"3943, 3944",Arthropoda,Malacostraca,Decapoda,Hermit_crab,15,ARMSMc#242,
